Publication Venue,Count
SOCIAL FORCES,1
Journal of Community Practice,2
BRITISH JOURNAL OF SOCIOLOGY,1
Journal of Sexual Aggression,1
Human Relations,1
South European Society & Politics,1
Journal of Lesbian Studies,1
Journal of Contemporary European Studies,1
"African Diaspora: Transnational Journal of Culture, Economy & Society",1
European Journal for Sport & Society,2
CHANGING SOCIETIES & PERSONALITIES,1
HUMAN ECOLOGY,1
Review of International Political Economy,1
Social and Economic Studies,1
Journal of Social Structure,1
International Social Science Review,1
Diaspora Studies,1
HAU: Journal of Ethnographic Theory,2
Interpersona,1
INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,1
Studies in Social Justice,2
"Tapuya: Latin American Science, Technology & Society",1
Journal of Evidence-Based Social Work (2640-8066),1
Nationalities Papers,1
Asia-Pacific Social Science Review,1
German Politics & Society,1
POLISH SOCIOLOGICAL REVIEW,1
"Twitter, o fim da política bipartidária e a ascensão do populismo. A campanha eleitoral espanhola em maio de 2015.",1
"French Politics, Culture & Society",2
Journal of Social & Political Psychology,1
African Studies,2
South Asian Diaspora,1
Family Journal,1
Qualitative Inquiry,1
Estrategias y razones del impacto de WikiLeaks en la opinión pública mundial.,1
Anthropology Today,2
Croatian Journal Educational/Hrvatski Casopis za Odgoj,1
Journal of Community Positive Practices,1
RUDN JOURNAL OF SOCIOLOGY-VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV SERIYA SOTSIOLOGIYA,1
SOCIOLOGICAL INQUIRY,2
CANADIAN REVIEW OF SOCIOLOGY-REVUE CANADIENNE DE SOCIOLOGIE,1
Theory & Society,1
Historical Social Research,1
"International Journal of Intelligence, Security & Public Affairs",1
Qualitative Research Journal (Emerald Group Publishing Limited),1
Women & Therapy,2
Sociologia Ruralis,1
Cuando la negatividad es el combustible. Bots y polarización política en el debate sobre el COVID-19.,1
Campbell Systematic Reviews,2
Journal of Global Faultlines,1
ANTHROZOOS,1
"Aylan Kurdi, Twitter y la indignación efímera.",1
American Journal of Drug & Alcohol Abuse,1
REVISTA ESPANOLA DE SOCIOLOGIA,1
RSF: The Russell Sage Foundation Journal of the Social Sciences,1
EUROPEAN SOCIOLOGICAL REVIEW,1
Spaces & Flows: An International Journal of Urban & Extra Urban Studies,1
Socialiniai tyrimai,1
Critical Studies on Security,1
Dumlupınar Üniversitesi Sosyal Bilimler Dergisi,1
SOCIETAMUTAMENTOPOLITICA-RIVISTA ITALIANA DI SOCIOLOGIA,1
"Crime, Law & Social Change",1
Peace & Conflict,1
Peace Review,1
Italian Culture (Taylor & Francis Ltd),1
Migracijske i etničke teme’,1
Comunicar,2
Estratégias de deslegitimação e policiamento online de manifestantes durante a pandemia na Polônia.,1
Canadian Journal of Human Sexuality,1
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,1
Family Relations,1
Journal of Loss & Trauma,2
Punishment & Society,1
International Journal of Social Inquiry,1
New England Journal on Criminal & Civil Confinement,1
"Research in Social Movements, Conflicts & Change",1
Pakistan Journal of Social Sciences (PJSS),1
Canadian Review of Sociology,1
Practice (09503153),1
SOCIETY & ANIMALS,1
E-Journal of International & Comparative Labour Studies (EJICLS),1
Journal of Global South Studies,1
Negotiation & Conflict Management Research,1
Public Voices,1
Sociology of Religion,1
Current Anthropology,1
Social Science Japan Journal,1
"Food, Culture & Society",1
